12
Employee ID,Name,Date of Birth,Date of Joining,Salary
789-34562,Mr. Salary Wrong,05/07/1960,08/06/1984,1567x65
99-34962,Miss. Incorrect Id Format 1,05/07/1960,08/06/1984,70000
929-34562-23,Mr. Incorrect Id Format 2,05/07/1960,08/06/1984,75000
34564,Miss. Incorrect Id Format 3,05/07/1960,08/06/1984,80000
345-3456,Mr. Employee Incorrect Id Format 4,05/07/1960,08/06/1984,70000
112-87657,Miss. Born-In-The-Future,05/07/2100,08/06/1984,100000
182-87057,Mr. Joined-In-The-Future,05/07/1967,08/06/2100,125000
145-27057,Miss. Joined-Before-Birth,05/07/1967,08/06/1966,1000000
945-34057,Miss. 10% Bonus,12/20/1976,08/06/1996,200000
999-45892,Mr. 6% Bonus,2/3/1981,2/23/2004,180000
101-34344,Miss. 4% Bonus,2/3/1976,2/23/2014,150000
245-47902,Mr. 2% Bonus,2/3/1981,2/23/2019,120000
